CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
101106,70,70,Overall,1.0,307,699,0.439,0.472,-0.033
101106,70,35,3 Pointers,0.082,19,57,0.333,0.339,-0.005
101106,70,70,2 Pointers,0.918,288,642,0.449,0.499,-0.051
101106,70,68,Less Than 6 Ft,0.491,175,343,0.51,0.6,-0.09
101106,70,70,Less Than 10 Ft,0.635,213,444,0.48,0.548,-0.068
101106,70,59,Greater Than 15 Ft,0.265,70,185,0.378,0.377,0.001
203105,46,46,Overall,1.0,182,420,0.433,0.471,-0.037
203105,46,22,3 Pointers,0.071,8,30,0.267,0.35,-0.084
203105,46,46,2 Pointers,0.929,174,390,0.446,0.494,-0.047
203105,46,43,Less Than 6 Ft,0.505,109,212,0.514,0.59,-0.076
203105,46,44,Less Than 10 Ft,0.686,137,288,0.476,0.543,-0.067
203105,46,41,Greater Than 15 Ft,0.25,34,105,0.324,0.375,-0.051
203949,34,34,Overall,1.0,53,107,0.495,0.44,0.055
203949,34,21,3 Pointers,0.29,10,31,0.323,0.361,-0.038
203949,34,30,2 Pointers,0.71,43,76,0.566,0.48,0.086
203949,34,26,Less Than 6 Ft,0.43,34,46,0.739,0.599,0.14
203949,34,28,Less Than 10 Ft,0.523,35,56,0.625,0.538,0.087
203949,34,22,Greater Than 15 Ft,0.43,17,46,0.37,0.37,0.0
202691,80,80,Overall,1.0,349,816,0.428,0.443,-0.015
202691,80,76,3 Pointers,0.313,80,255,0.314,0.353,-0.039
202691,80,80,2 Pointers,0.688,269,561,0.48,0.484,-0.004
202691,80,71,Less Than 6 Ft,0.286,148,233,0.635,0.6,0.035
202691,80,77,Less Than 10 Ft,0.387,177,316,0.56,0.545,0.015
202691,80,80,Greater Than 15 Ft,0.501,137,409,0.335,0.372,-0.037
203110,81,81,Overall,1.0,528,1331,0.397,0.455,-0.058
203110,81,80,3 Pointers,0.259,101,345,0.293,0.345,-0.053
203110,81,81,2 Pointers,0.741,427,986,0.433,0.491,-0.058
203110,81,79,Less Than 6 Ft,0.342,234,455,0.514,0.597,-0.083
203110,81,80,Less Than 10 Ft,0.462,287,615,0.467,0.548,-0.082
203110,81,81,Greater Than 15 Ft,0.445,204,592,0.345,0.365,-0.021
201574,44,44,Overall,1.0,97,195,0.497,0.453,0.044
201574,44,21,3 Pointers,0.169,14,33,0.424,0.34,0.084
201574,44,42,2 Pointers,0.831,83,162,0.512,0.487,0.026
201574,44,39,Less Than 6 Ft,0.467,50,91,0.549,0.58,-0.03
201574,44,39,Less Than 10 Ft,0.574,56,112,0.5,0.533,-0.033
201574,44,33,Greater Than 15 Ft,0.344,32,67,0.478,0.365,0.112
201575,68,68,Overall,1.0,167,359,0.465,0.441,0.024
201575,68,49,3 Pointers,0.267,34,96,0.354,0.345,0.009
201575,68,66,2 Pointers,0.733,133,263,0.506,0.487,0.019
201575,68,54,Less Than 6 Ft,0.329,74,118,0.627,0.6,0.027
201575,68,61,Less Than 10 Ft,0.476,98,171,0.573,0.544,0.03
201575,68,58,Greater Than 15 Ft,0.432,59,155,0.381,0.36,0.021
201578,71,71,Overall,1.0,206,450,0.458,0.458,-0.001
201578,71,42,3 Pointers,0.158,23,71,0.324,0.341,-0.017
201578,71,70,2 Pointers,0.842,183,379,0.483,0.493,-0.01
201578,71,61,Less Than 6 Ft,0.422,109,190,0.574,0.598,-0.024
201578,71,63,Less Than 10 Ft,0.54,130,243,0.535,0.548,-0.013
201578,71,59,Greater Than 15 Ft,0.358,59,161,0.366,0.364,0.002
201939,79,79,Overall,1.0,338,854,0.396,0.432,-0.036
201939,79,78,3 Pointers,0.386,103,330,0.312,0.351,-0.039
201939,79,79,2 Pointers,0.614,235,524,0.448,0.473,-0.024
201939,79,66,Less Than 6 Ft,0.177,99,151,0.656,0.591,0.065
201939,79,74,Less Than 10 Ft,0.28,136,239,0.569,0.53,0.039
201939,79,78,Greater Than 15 Ft,0.616,169,526,0.321,0.366,-0.044
203546,51,51,Overall,1.0,90,173,0.52,0.427,0.094
203546,51,31,3 Pointers,0.347,23,60,0.383,0.347,0.036
203546,51,49,2 Pointers,0.653,67,113,0.593,0.472,0.121
203546,51,35,Less Than 6 Ft,0.306,37,53,0.698,0.598,0.1
203546,51,39,Less Than 10 Ft,0.387,46,67,0.687,0.541,0.146
203546,51,37,Greater Than 15 Ft,0.509,39,88,0.443,0.36,0.083
2733,77,77,Overall,1.0,234,527,0.444,0.435,0.009
2733,77,71,3 Pointers,0.357,67,188,0.356,0.342,0.015
2733,77,75,2 Pointers,0.643,167,339,0.493,0.479,0.013
2733,77,57,Less Than 6 Ft,0.262,91,138,0.659,0.597,0.063
2733,77,69,Less Than 10 Ft,0.362,109,191,0.571,0.543,0.028
2733,77,77,Greater Than 15 Ft,0.55,106,290,0.366,0.361,0.005
2738,65,65,Overall,1.0,219,484,0.452,0.446,0.007
2738,65,60,3 Pointers,0.353,57,171,0.333,0.347,-0.014
2738,65,63,2 Pointers,0.647,162,313,0.518,0.49,0.028
2738,65,52,Less Than 6 Ft,0.256,81,124,0.653,0.608,0.045
2738,65,59,Less Than 10 Ft,0.366,102,177,0.576,0.553,0.023
2738,65,63,Greater Than 15 Ft,0.554,95,268,0.354,0.369,-0.015
2571,68,68,Overall,1.0,111,247,0.449,0.431,0.018
2571,68,49,3 Pointers,0.348,32,86,0.372,0.339,0.033
2571,68,60,2 Pointers,0.652,79,161,0.491,0.479,0.012
2571,68,35,Less Than 6 Ft,0.198,34,49,0.694,0.599,0.095
2571,68,44,Less Than 10 Ft,0.312,48,77,0.623,0.539,0.084
2571,68,64,Greater Than 15 Ft,0.619,56,153,0.366,0.361,0.005
201567,77,77,Overall,1.0,514,1028,0.5,0.465,0.035
201567,77,66,3 Pointers,0.182,70,187,0.374,0.358,0.017
201567,77,77,2 Pointers,0.818,444,841,0.528,0.496,0.031
201567,77,76,Less Than 6 Ft,0.38,247,391,0.632,0.599,0.032
201567,77,77,Less Than 10 Ft,0.555,329,571,0.576,0.549,0.028
201567,77,76,Greater Than 15 Ft,0.364,153,374,0.409,0.376,0.033
202389,76,76,Overall,1.0,313,705,0.444,0.476,-0.032
202389,76,41,3 Pointers,0.099,20,70,0.286,0.348,-0.062
202389,76,76,2 Pointers,0.901,293,635,0.461,0.5,-0.039
202389,76,74,Less Than 6 Ft,0.44,162,310,0.523,0.602,-0.079
202389,76,76,Less Than 10 Ft,0.613,213,432,0.493,0.55,-0.057
202389,76,66,Greater Than 15 Ft,0.298,69,210,0.329,0.373,-0.045
202684,81,81,Overall,1.0,462,1015,0.455,0.462,-0.007
202684,81,68,3 Pointers,0.167,53,170,0.312,0.351,-0.039
202684,81,81,2 Pointers,0.833,409,845,0.484,0.492,-0.008
202684,81,79,Less Than 6 Ft,0.407,232,413,0.562,0.594,-0.032
202684,81,81,Less Than 10 Ft,0.564,291,572,0.509,0.543,-0.034
202684,81,80,Greater Than 15 Ft,0.339,127,344,0.369,0.373,-0.004
202681,53,53,Overall,1.0,204,455,0.448,0.438,0.01
202681,53,50,3 Pointers,0.349,56,159,0.352,0.353,-0.001
202681,53,53,2 Pointers,0.651,148,296,0.5,0.478,0.022
202681,53,48,Less Than 6 Ft,0.268,80,122,0.656,0.586,0.07
